id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
132516,Forest Hills Apt minutes to midtown Manhattan,85330,Jean,Queens,Forest Hills,40.70925,-73.85262,Entire home/apt,97,3,28,01/07/19,1.21,3,209
151199,Astoria-Private Home NYC-,722320,Gladys & Bob,Queens,Astoria,40.75725,-73.91098000000001,Entire home/apt,129,1,414,03/07/19,4.34,1,245
152520,Female Only Clean15min to Manhattan,733894,Lucy,Queens,Sunnyside,40.7385,-73.91806,Private room,42,40,53,16/11/18,0.55,3,236
161366,Sunny 15min to Manhattan LADY only,733894,Lucy,Queens,Sunnyside,40.74102,-73.91681,Private room,42,40,41,01/06/19,0.43,3,246
165824,Lady only Curtain-divided room,733894,Lucy,Queens,Sunnyside,40.74,-73.91901,Private room,33,44,31,01/05/19,0.32,3,161
180507,Ultra Modern NYC Garden Apartment,864735,Jason,Queens,Astoria,40.75744,-73.92163000000001,Entire home/apt,107,30,21,01/12/18,0.22,8,200
180792,Modern Garden Apartment in NYC,864735,Jason,Queens,Astoria,40.75695,-73.9202,Entire home/apt,95,30,24,04/04/19,0.26,8,271
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",938056,Mike,Queens,Sunnyside,40.742490000000004,-73.92466,Private room,75,2,160,25/06/19,1.68,1,65
209310,Sunnyside NYC/ AC room/ city views/ near Midtown,1031148,Iulia,Queens,Sunnyside,40.73826,-73.92458,Private room,50,28,258,28/05/19,2.9,1,287
215784,Modern Unique Studio in NYC,864735,Jason,Queens,Long Island City,40.75627,-73.9211,Entire home/apt,95,30,24,31/03/19,0.25,8,358
233638,rooms for rent in Queens with piano,1012895,Melody,Queens,Ridgewood,40.70163,-73.90867,Private room,55,1,19,31/07/18,0.25,1,311
234870,Private Room With GREAT Location,1229984,John,Queens,Long Island City,40.74581,-73.95295,Private room,75,30,65,31/07/17,0.74,3,219
239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,40.776790000000005,-73.91686999999999,Entire home/apt,75,28,49,26/06/19,0.53,1,313
246916,Quality Cozy Studio Next to Subway,3647,Rafael,Queens,Elmhurst,40.7347,-73.88065999999999,Entire home/apt,79,4,60,25/06/19,0.64,2,297
254131,"Read it 1st, A seprat fur BR, low $",1267021,Sharma,Queens,Jackson Heights,40.74965,-73.89344,Private room,54,5,56,06/07/19,0.66,3,365
256078,"Entire apt NYC, Queens. 15 min from Times Square.",1346437,Cristina,Queens,Sunnyside,40.74511,-73.92398,Entire home/apt,80,10,81,31/05/19,0.98,2,40
258686,My Home Is Your Home,1233267,Kim,Queens,St. Albans,40.70554,-73.76637,Private room,75,4,20,30/12/15,0.23,1,0
263776,City Skyline Views from every room!,1384111,Joanne,Queens,Sunnyside,40.74558,-73.92324,Private room,73,2,95,02/01/19,1.02,2,0
267435,Large Sunny Bedroom in QNS NYC,1402454,Jocelin,Queens,Rego Park,40.73349,-73.86009,Private room,55,1,38,01/07/19,0.85,1,0
269889,One stop from Midtown Manhattan!,1413098,M,Queens,Long Island City,40.74579,-73.95012,Private room,96,2,244,25/06/19,2.74,1,270
270231,Cozy New York  City private room,1366310,Janina,Queens,Woodside,40.74409,-73.91122,Private room,85,2,270,07/07/19,2.95,2,306
278145,Large Room in a Huge NY apartment.,1452026,Heidi,Queens,Astoria,40.77117,-73.91905,Private room,30,5,3,20/06/17,0.03,1,0
289958,2 Rooms in Cottage NYC,1454655,Ronaldo,Queens,Long Island City,40.75295,-73.93228,Private room,65,2,5,09/09/14,0.06,1,362
291812,"Entire Apartment in Astoria, 15mins from Manhattan",1509416,Natalia,Queens,Astoria,40.76856,-73.91828000000001,Entire home/apt,70,5,1,30/08/16,0.03,1,0
294239,NYC Summer Getaway | Full Home 2BR,1521432,Carmen,Queens,Astoria,40.76444,-73.92607,Entire home/apt,192,3,7,18/04/17,0.08,1,0
296361,Nice Private Room Beauty in Queens,1528912,Weiwei,Queens,Elmhurst,40.736999999999995,-73.87444,Private room,55,1,63,18/05/19,0.89,2,341
311356,Charming Ridgewood Soulful  Walk-Up,142147,Richard,Queens,Ridgewood,40.70215,-73.91139,Private room,52,2,98,01/05/19,1.09,1,326
389482,Quaint & Quiet in Queens,1947974,Constance F.,Queens,Briarwood,40.71151,-73.81560999999999,Private room,75,1,59,09/11/18,0.69,2,0
391948,Single Room,1960128,Luana,Queens,Ozone Park,40.68581,-73.84642,Shared room,45,1,8,30/09/15,0.11,2,364
394111,"Beautiful Bedrooms in Briarwood, NY",1947974,Constance F.,Queens,Briarwood,40.710679999999996,-73.81577,Private room,75,1,16,01/01/17,0.18,2,189
405025,LUXE Privé L.I.C. Apt & Garden,2018042,Megan,Queens,Long Island City,40.754529999999995,-73.93377,Entire home/apt,215,2,59,01/07/19,0.94,1,335
432090,Only 5 Min. to Manhattan!,2148881,Grace,Queens,Long Island City,40.748259999999995,-73.94633,Private room,50,180,69,28/09/16,0.79,1,0
442636,"Private,Affordable, 20 min to NYC!",1655939,Joris,Queens,Ridgewood,40.700540000000004,-73.90255,Entire home/apt,77,3,289,24/06/19,3.3,1,85
448048,"1 BR, Book it 1st then write me",1267021,Sharma,Queens,Jackson Heights,40.75193,-73.87873,Private room,75,5,30,24/05/19,0.37,3,180
448049,"No Inq,Read it, 1 BR, Rt of Subway,",1267021,Sharma,Queens,Jackson Heights,40.74906,-73.89376999999999,Private room,69,7,55,30/09/18,0.64,3,318
467634,yahmanscrashpads,2321321,Lloyd,Queens,Jamaica,40.67747,-73.76493,Shared room,39,1,454,18/06/19,5.27,1,353
473592,AMAZING Private 1stop away from NYC 1 block Subway,2347382,Massi & Ray,Queens,Long Island City,40.7502,-73.94189,Private room,70,1,144,17/06/19,1.68,2,340
479285,Rent in beautiful Sunnyside Gardens for holidays,2374190,Jazmin,Queens,Sunnyside,40.746790000000004,-73.91853,Private room,80,3,1,30/12/12,0.01,1,330
495249,10min Walk & 15mins to Tourist Spot,2446219,Biren,Queens,East Elmhurst,40.75541,-73.89239,Private room,85,1,219,14/06/19,2.63,2,305
506527,Modern Sunny 2 Bedroom Apartment,864735,Jason,Queens,Astoria,40.75782,-73.92129,Entire home/apt,107,30,24,30/04/19,0.29,8,262
512775,The Cottage / 1500 sqft. of Privacy,2396295,Richard,Queens,Long Island City,40.752959999999995,-73.93715999999999,Entire home/apt,350,2,182,11/06/19,2.2,1,272
517654,Beautiful apt 10 min to Wbrg!,78742,Joni,Queens,Ridgewood,40.70278,-73.90153000000001,Entire home/apt,70,30,3,15/08/15,0.04,1,0
519310,YOU ROOM IN NYC,1366310,Janina,Queens,Woodside,40.74377,-73.91225,Private room,75,2,251,07/07/19,2.92,2,317
521806,Airy 1BR nice area Queens nr subway,2389494,Anya,Queens,Rego Park,40.72719,-73.86166,Entire home/apt,69,5,5,17/05/19,0.1,1,4
531091,King size bedroom in 2 bed apartment,1787284,Dragan,Queens,Astoria,40.755320000000005,-73.91603,Private room,109,30,304,19/06/19,3.7,1,0
538590,cozy 2bedroomAPART 10min to MIDTOWN,2645592,De & Claudia,Queens,Astoria,40.759190000000004,-73.91835999999999,Entire home/apt,150,3,74,15/05/19,0.87,2,365
543792,Studio Apartment Bushwick/Ridgewood,865264,Sharon And Tom,Queens,Ridgewood,40.70878,-73.91727,Entire home/apt,110,5,107,21/06/19,1.25,1,276
546383,My Little Guest Room in Flushing,2680820,Linda,Queens,Flushing,40.75578,-73.81948,Private room,55,1,474,25/05/19,5.53,3,332
577324,Stylish 1BR Apartment Quick to Midtown and LGA!,2839267,Dustin,Queens,Ditmars Steinway,40.76961,-73.90451,Entire home/apt,54,45,198,15/06/19,2.33,1,80
581542,Escape to our Great Beach Getaway,2861854,Jeanmarie,Queens,Arverne,40.59783,-73.80158,Entire home/apt,92,1,55,01/06/17,0.66,1,8
582372,Comfy New York City Launching Pad!!,733370,Tim,Queens,Astoria,40.77115,-73.92275,Private room,69,40,23,01/07/16,0.27,1,207
592853,A GEM IN THE CITY,2926593,Valerie,Queens,Ridgewood,40.70001,-73.90698,Entire home/apt,75,2,17,01/01/17,0.2,1,0
597544,Dream Room in Sunnyside New York,2954200,Nancy,Queens,Sunnyside,40.741240000000005,-73.92273,Private room,100,3,28,31/03/19,0.38,1,188
602250,College Students see New York !,2979607,Miriam,Queens,Cambria Heights,40.69249,-73.73382,Private room,55,3,0,,,2,365
609559,Queens Quality Convenient Apartment,3647,Rafael,Queens,Elmhurst,40.73587,-73.88279,Entire home/apt,99,3,48,23/06/19,0.58,2,301
611408,Cozy Comfortable Friendly & Cheap!,2979607,Miriam,Queens,Cambria Heights,40.6916,-73.73323,Private room,45,3,0,,,2,365
620214,NYC/Queens 1 Bedroom Apartment,3073291,David,Queens,Astoria,40.76408,-73.92461,Entire home/apt,175,14,0,,,1,0
633276,"Jacuzzi Suite, Minutes to Times Sq.",1568517,Karl & Catherine,Queens,Long Island City,40.74609,-73.94691,Private room,89,1,165,22/06/19,1.99,2,50
637504,Private bedroom in a 2-fam house for solo traveler,3179968,Tony,Queens,Sunnyside,40.73607,-73.92439,Private room,52,3,1,04/06/18,0.08,1,0
645693,☆☆New Discount☆☆ Beautiful Room / Next to Subway,3233986,Daniel,Queens,Astoria,40.75703,-73.91666,Private room,61,4,107,22/06/19,1.29,2,335
658932,Cozy room on a tree lined street ,3323929,Erika,Queens,Ridgewood,40.699220000000004,-73.90026999999999,Private room,69,1,30,22/06/19,0.4,1,0
674692,A LITTLE PARADISE NEXT TO SUBWAY!,3425965,Francesca,Queens,Ridgewood,40.707190000000004,-73.89631999999999,Private room,75,14,11,31/08/18,0.15,1,332
676295,(B)  BARGAIN SPACE,27848,Jullett,Queens,Jamaica,40.671659999999996,-73.76566,Private room,58,2,56,01/07/19,0.67,2,365
679633,Cozy 1 bedroom apartment in NYC,3458785,Glauce,Queens,Ditmars Steinway,40.77987,-73.91565,Entire home/apt,75,3,1,18/09/12,0.01,1,0
679769,Great Room in Astoria! Close to Everything!,3404680,James,Queens,Astoria,40.77329,-73.92832,Private room,100,2,35,21/06/19,0.42,1,144
680225,"Large private bedroom in house, Bushwick/Ridgewood",2675998,Alice,Queens,Ridgewood,40.708659999999995,-73.91537,Private room,65,2,1,03/01/18,0.05,2,0
683743,Low Cost Room With GREAT Location,1229984,John,Queens,Long Island City,40.7453,-73.95294,Private room,65,20,28,20/05/17,0.34,3,188
689329,Cozy 15 mins Manhattan& 10 Mins LGA,2446219,Biren,Queens,East Elmhurst,40.75772,-73.8953,Private room,62,1,296,29/06/19,3.92,2,234
704838,An Oasis in  the Big Apple 1,3621183,Paul,Queens,Woodside,40.74723,-73.89706,Entire home/apt,120,3,60,04/07/19,1.59,3,281
708637,Cozy bedroom near Manhattan & airport,3644693,Eugenia,Queens,Jackson Heights,40.74869,-73.88293,Private room,68,28,55,01/06/19,0.67,2,89
714028,An Oasis in the Big Apple 2,3621183,Paul,Queens,Woodside,40.74746,-73.89712,Entire home/apt,120,3,51,03/07/19,1.52,3,253
714049,An Oasis in the Big Apple 3,3621183,Paul,Queens,Woodside,40.74687,-73.89891999999999,Entire home/apt,120,3,55,04/06/19,0.67,3,289
726692,House 10 min from Midtown Manhattan,3641304,Remo,Queens,Astoria,40.762159999999994,-73.92541999999999,Entire home/apt,245,6,1,29/08/15,0.02,1,164
739815,Cozy Private Room in LIC,1486623,Sol,Queens,Long Island City,40.74975,-73.93688,Private room,55,7,39,25/06/19,0.48,1,46
748656,Cozy Vintage Studio in Flushing (Close to LGA/JFK),1687335,Aimée,Queens,Flushing,40.76372,-73.79201,Shared room,108,5,2,01/08/17,0.08,1,0
752366,"Big, close to subway, 3 stops from the city",3956850,Dana,Queens,Astoria,40.755829999999996,-73.91839,Entire home/apt,89,3,17,15/03/19,0.31,1,0
754353,Location Moreno,3250450,Petya,Queens,Long Island City,40.757540000000006,-73.93004,Private room,39,30,13,13/12/15,0.16,18,360
761606,"Great location, cozy and quiet.",1292205,Pasha,Queens,Astoria,40.76361,-73.91793,Entire home/apt,140,5,15,31/05/19,0.19,1,260
761835,Apto 2 bed $80 night per person,4015459,Joao Lucas,Queens,Astoria,40.76605,-73.92922,Private room,80,2,72,30/06/19,0.89,1,364
764052,1 Bedroom Apartment in quiet area.,2618273,Sabrina,Queens,Ditmars Steinway,40.77466,-73.91807,Entire home/apt,390,3,1,27/12/16,0.03,1,89
765563,Big Comfy Beds & Breakfast on the Deck,4036685,Norman,Queens,Bayside,40.75666,-73.76314,Entire home/apt,299,2,67,20/06/19,0.95,2,322
766964,"Sublet Lovely Room in Astoria, 3-4 months",4044889,Jenna,Queens,Astoria,40.77016,-73.92316,Private room,55,80,3,10/11/12,0.04,1,119
771436,3BR/3 Bath House in Astoria,4070269,William,Queens,Ditmars Steinway,40.78027,-73.90821,Entire home/apt,250,28,0,,,1,88
774791,Very clean bed room in queens NYC,1528912,Weiwei,Queens,Flushing,40.75612,-73.82517,Private room,55,2,31,28/06/18,0.53,2,282
775326,Cozy Room in Artistic Brownstone,1568517,Karl & Catherine,Queens,Long Island City,40.74527,-73.94629,Private room,69,1,153,18/01/19,1.89,2,132
783964,GREAT ROOM Fast 2 TIMES SQ 9min NYC,2347382,Massi & Ray,Queens,Long Island City,40.749970000000005,-73.9397,Private room,70,1,148,01/06/19,1.9,2,303
795641,Weekend NY getaway? Holiday stay?,3472148,Brian,Queens,Ditmars Steinway,40.77452,-73.90889,Private room,60,1,0,,,1,0
805793,Charming Astoria/NYC Studio Sublet,4241831,Timothy,Queens,Long Island City,40.76108,-73.9274,Entire home/apt,150,14,0,,,1,0
806038,Home Sweet Room-SAPPHIRE-Queens NYC,4113132,Jacqueline & Tyas,Queens,Elmhurst,40.736979999999996,-73.87763000000001,Private room,45,3,89,28/06/19,1.12,3,213
806040,Home Sweet Room-EMERALD-Queens NYC!,4113132,Jacqueline & Tyas,Queens,Elmhurst,40.73842,-73.87609,Private room,45,3,125,23/06/19,1.57,3,208
808618,Spacious & Sunny in Scenic Kw Gdns,4254417,Renee,Queens,Kew Gardens,40.70947,-73.82921999999999,Private room,60,3,12,08/06/19,0.31,1,351
816637,Big apartment with top view! 1 block from subway.,1099716,Alvaro,Queens,Sunnyside,40.74263,-73.92475999999999,Entire home/apt,85,2,108,23/06/19,1.35,1,0
818337,Newly Reno Room with Private Bath^,4241953,Celeste,Queens,Flushing,40.75979,-73.81016,Private room,57,2,17,22/06/19,0.21,4,308
836720,Brand New Bay House ,4372934,Manuel Alberto,Queens,College Point,40.78417,-73.83875,Entire home/apt,400,2,47,11/06/19,0.61,1,361
837958,Very cozy room with a tv.!,4378763,Antonio,Queens,Long Island City,40.7529,-73.92985,Private room,63,2,26,13/07/14,0.33,3,249
843003,Modern Two-Bedroom Balcony Apartment,864735,Jason,Queens,Astoria,40.75665,-73.92015,Entire home/apt,107,30,15,30/04/19,0.19,8,268
843491,Clean 1 bedroom with private bath :),4241953,Celeste,Queens,Flushing,40.760740000000006,-73.80969,Private room,80,3,8,04/01/19,0.17,4,342
848707,"Bright Room in Queens, Shared bath%",4241953,Celeste,Queens,Flushing,40.76,-73.81116999999999,Private room,60,2,17,07/10/18,0.22,4,314
848722,Lovely BR In The ❤ Of Flushing! Free Metro Card,4241953,Celeste,Queens,Flushing,40.76014,-73.81146,Private room,45,2,39,07/06/19,0.52,4,292
853900,Immaculate brand new one bedroom ,4459052,Dominique,Queens,Astoria,40.76488,-73.9297,Entire home/apt,95,30,0,,,1,0
886808,"Free Metrocard*, Safe & Affordable",4701443,Christina,Queens,Flushing,40.75088,-73.81029000000001,Private room,55,1,116,14/06/19,1.51,2,298
886833,"Private Suite, Free Metrocard*",4701443,Christina,Queens,Flushing,40.7525,-73.81126,Entire home/apt,81,1,313,05/07/19,4.09,2,263
890794,Cozy- bedroom in Jackson Heights!,4731046,Luis,Queens,Jackson Heights,40.75374,-73.8924,Private room,70,2,0,,,1,188
894093,"Cozy room,only 2 blocks from subway,10min to City!",4644172,Sheena,Queens,Astoria,40.7686,-73.9201,Private room,47,1,71,04/09/18,1.05,1,0
898861,"Private One Bedroom Suite, 45 min from City",3546135,Jeanette & Henry,Queens,Briarwood,40.71156,-73.8091,Entire home/apt,63,3,104,19/06/19,1.35,1,256
923979,"Private Studio Near JFK, LGA & Subway  Not A Bsmnt",4970027,Tzvi,Queens,Briarwood,40.70715,-73.81468000000001,Entire home/apt,77,1,78,05/07/19,1.02,1,168
926337,Charm w/amazing city view by PS1,4260529,Harry,Queens,Long Island City,40.74641,-73.94611,Private room,349,1,30,16/10/16,0.39,2,365
927597,(2) CLEAN HOME AWAY FROM HOME!,4983320,Terri,Queens,Flushing,40.75444,-73.83057,Private room,76,1,75,01/01/17,1.0,2,0
951365,Bushwick/Ridgewood aprtmt w parking,2675998,Alice,Queens,Ridgewood,40.7099,-73.91509,Entire home/apt,115,2,74,19/05/19,0.96,2,314
973535,"Garden Apt, 5 mins from LaGuardia",3179866,Gonzalo And Nora,Queens,East Elmhurst,40.76356,-73.8885,Entire home/apt,99,3,158,02/07/19,2.08,2,322
978386,"A GEM Garden Apt on Broadway & 42ST QUEENS, NY",5354308,Yiota,Queens,Astoria,40.757509999999996,-73.91678,Entire home/apt,85,2,260,03/07/19,3.44,1,254
978615,NICE ROOM IN ASTORIA NEAR MANHATTAN,5369117,Rosa,Queens,Astoria,40.76291,-73.91871,Private room,81,2,183,15/06/19,2.45,2,326
987329,ROOM NEAR TIMES SQUARE MANHATTAN,5369117,Rosa,Queens,Astoria,40.76491,-73.9207,Private room,78,4,70,12/06/19,1.64,2,348
989976,Three Bedroom NY Private Apartment,5435208,Rose,Queens,Flushing,40.74142,-73.8202,Entire home/apt,160,3,96,22/06/19,1.29,1,298
998423,Great space minutes from Manhattan!,2765234,Casey,Queens,Astoria,40.7603,-73.91395,Private room,75,4,19,25/04/19,0.52,1,10
1010785,Astoria awesome balcony apartment PARKING AVAILABL,3898812,Ahmed,Queens,Astoria,40.76295,-73.92652,Entire home/apt,130,1,58,06/07/19,0.77,1,301
1016004,Clean and Cute Shared Room in Very Safe Area,5577926,Lou,Queens,Astoria,40.76777,-73.91109,Shared room,38,1,127,23/06/19,1.67,4,55
1025001,Private Entrance Charming Bedroom,5641042,Livia,Queens,Glendale,40.70538,-73.89448,Private room,75,2,132,25/06/19,1.74,1,333
1025786,Fantastic 1br in Astoria/LIC,5647813,Atlanta,Queens,Long Island City,40.744170000000004,-73.94823000000001,Private room,69,7,12,05/07/19,0.18,1,365
1036498,☆☆New Discount☆☆ 10min to Manhattan,3233986,Daniel,Queens,Astoria,40.75537,-73.91648,Private room,46,4,70,23/05/19,0.93,2,173
1042806,My Other Little Guestroom,2680820,Linda,Queens,Flushing,40.75334,-73.81699,Private room,59,1,281,11/06/19,3.7,3,322
1046443,"Beautiful & spacious apartment in Astoria, Queens",5760970,Chris,Queens,Ditmars Steinway,40.77117,-73.90427,Private room,200,1,16,30/06/19,0.68,2,364
1074506,Amazing Queens Oasis Steps to Train,2981156,Kia,Queens,Astoria,40.76359,-73.92531,Entire home/apt,160,2,13,14/10/18,0.26,2,56
1076324,2BR Sunny Apt - 15 min from MIDTOWN,3864301,Sen,Queens,Sunnyside,40.74361,-73.91662,Entire home/apt,150,30,9,20/08/16,0.12,2,365
1077375,Private RM 15min from the Manhattan,5855145,Edward,Queens,Astoria,40.75959,-73.90835,Private room,70,1,136,23/06/19,1.81,2,359
1090732,You take living or bedroom!,5993276,Alfred,Queens,Richmond Hill,40.7017,-73.82316,Shared room,60,7,0,,,1,362
1107976,Manhattan & Time Square in 30 minutes. Back room.,3158364,Devika,Queens,Sunnyside,40.736,-73.92425,Private room,35,5,59,05/07/19,1.76,4,250
1114788,Astoria Heights Gorgeous Guest Bedroom,6118355,William,Queens,Ditmars Steinway,40.771029999999996,-73.89461,Private room,73,1,6,31/03/19,0.13,1,363
1137999,Private room in a townhouse in NYC,6242426,H. Ann,Queens,Jamaica,40.69965,-73.79286,Private room,133,1,0,,,1,281
1147524,3br family-friendly Astoria house,244071,Litza,Queens,Ditmars Steinway,40.77755,-73.90599,Entire home/apt,175,7,2,12/07/14,0.03,1,8
1165913,Quiet/Clean minutes to Manhattan,6385492,John,Queens,Sunnyside,40.74239,-73.92213000000001,Private room,65,2,12,30/09/18,0.16,1,332
1183236,Fantastic 1 BR in massive share.,6472794,Joel,Queens,Long Island City,40.74984,-73.91834,Private room,60,1,0,,,1,0
1186569,beautiful spacious room,6471461,Robert,Queens,Ridgewood,40.70823,-73.89925,Private room,55,1,224,02/07/19,3.87,2,356
1190223,Large 1 Bedroom in Astoria,3202825,Joseph,Queens,Astoria,40.76797,-73.92858000000001,Entire home/apt,119,7,11,30/04/19,0.63,1,143
1198231,Clean & Quiet Apartment.,2020556,Michael,Queens,Astoria,40.75962,-73.92175999999999,Shared room,50,1,0,,,1,0
1209955,The Green Room: Your NYC Adventure starts here,3007815,Alia,Queens,Ditmars Steinway,40.77147,-73.9166,Private room,69,2,103,23/06/19,1.39,2,124
1215627,Floating Cabin Houseboat Rockaway Surf's Up!,5720054,Ingrid,Queens,Arverne,40.592040000000004,-73.78665,Entire home/apt,150,1,109,22/06/19,1.49,1,358
1220548,Cozy 2 BR apartment in Queens,2050338,Verena,Queens,Richmond Hill,40.694140000000004,-73.82538000000001,Entire home/apt,90,30,33,08/12/17,0.46,3,298
1222563,"Renovated, Residential Space",3475005,Yolanda,Queens,Queens Village,40.70382,-73.73955,Entire home/apt,84,2,172,27/06/19,2.32,2,345
1225060,Lovely Studio in Astoria,6682511,Inga,Queens,Ditmars Steinway,40.775459999999995,-73.91571,Entire home/apt,110,3,23,04/01/19,0.67,1,14
1271103,Lovely spacious 1 Bdrm in Ridgewood,2243431,Marcelle,Queens,Glendale,40.70518,-73.89133000000001,Entire home/apt,85,2,1,16/03/15,0.02,1,0
1300216,1 Bdrm Apt  2 blocks to subway 15 mins to Midtown,2135948,Giovanni,Queens,Astoria,40.76788,-73.92334,Entire home/apt,100,1,102,03/07/19,1.73,1,33
1324087,Lovely 1-bedroom-heart of Astoria,6002245,Nicholas,Queens,Astoria,40.76062,-73.9175,Entire home/apt,80,70,44,26/04/19,0.61,1,198
1325432,"Private Room in Woodside, Queens: Good Deal!",2989617,Seth,Queens,Woodside,40.74265,-73.89780999999999,Private room,79,2,61,20/05/19,0.93,1,353
1327775,Luxury 1BR w/ Rooftop,7205838,Erik,Queens,Long Island City,40.76592,-73.93428,Entire home/apt,120,3,2,29/05/16,0.05,1,0
1332473,2 BED ROOM APT. IN A PRIVATE HOUSE,7027562,Deidra,Queens,Queens Village,40.725120000000004,-73.73986,Private room,80,1,5,01/07/19,0.07,1,363
1352560,XLG Studio Apt w/TONS of Amenities,7341015,Aviva,Queens,Long Island City,40.743179999999995,-73.95108,Entire home/apt,145,2,30,03/09/18,0.42,1,278
1401826,As Seen In NY Magazine! Chic & Stylish!,7566397,Brett,Queens,Sunnyside,40.74342,-73.92635,Entire home/apt,100,30,2,31/08/18,0.06,1,250
1420559,Great 1BR apartment in a convenient location,3349838,Tom,Queens,Long Island City,40.74449,-73.95201,Entire home/apt,138,1,4,05/07/16,0.06,1,41
1427401,Fully furnished private apartment..,7676839,Gabor,Queens,Astoria,40.76781,-73.92684,Entire home/apt,70,20,75,15/09/18,1.05,1,364
1428371,Great  Room in Astoria - New York,7681692,Ernesto,Queens,Astoria,40.76924,-73.91776,Private room,75,6,0,,,1,180
1452786,"A beautiful, and quiet place to stay in NYC!!!",6122499,Marjorie,Queens,Bellerose,40.73193,-73.74481,Shared room,150,2,0,,,1,365
1458987,Room in My Apt. Rego Park Queens NY,7645338,King,Queens,Rego Park,40.72638,-73.85852,Private room,35,4,76,04/02/19,1.07,1,5
1466081,JFK Jupiter Suites w/ Parking,7853251,Enyinne,Queens,St. Albans,40.6891,-73.7733,Private room,59,1,190,16/06/19,2.64,5,359
1466534,Jupiter Suites- Rm #1 (JFK),7853251,Enyinne,Queens,St. Albans,40.69045,-73.77467,Private room,59,1,19,29/06/16,0.26,5,359
1471244,Cozy w/amazing city views by PS1,4260529,Harry,Queens,Long Island City,40.746320000000004,-73.94799,Private room,349,1,26,13/12/16,0.36,2,365
1471952,Jupiter Suites- Rm #2- (JFK),7853251,Enyinne,Queens,St. Albans,40.68872,-73.77373,Private room,59,1,14,22/10/16,0.19,5,359
1472009,"Jupiter Suites, Rm #3- (JFK)",7853251,Enyinne,Queens,St. Albans,40.690540000000006,-73.77306,Private room,59,1,32,21/09/16,0.45,5,359
1475427,Cozy Twin for the NYC Win! [Gay/LGBT Friendly],7896605,Daveyjoe!,Queens,Sunnyside,40.742340000000006,-73.92579,Private room,102,5,8,02/01/18,0.24,1,0
1475661,Gorgeous Apt. 20 min to Manhattan!,7897301,Rickey,Queens,Astoria,40.7703,-73.93306,Entire home/apt,140,2,13,01/09/14,0.18,1,0
